Latitude,Longitude,Name,Address
-118.148051,34.673573,"Target - Lancaster,","43525 10th St W,Lancaster,CA,93534 ,#0245,(661) 949-8584"
-118.465502,34.395781,"Target - Santa Clarita East,","19105 Golden Valley Rd,Santa Clarita,CA,91387 ,#2030,(661) 977-5154"
-118.047777,34.572975,"Target - Palmdale East,","38019 47Th St E,Palmdale,CA,93552 ,#2350,(661) 998-2500"
-122.011353,37.32349,"Target - Cupertino Main St,","19499 Stevens Creek Blvd,Cupertino,CA,95014 ,#3224,(669) 230-8080"
-121.958993,37.352192,"Target - Santa Clara,","2004 El camino Real,Santa Clara,CA,95050 ,#2830,(669) 342-3320"
-84.456232,34.237061,"Target - Canton,","2022 Cumming Hwy,Canton,GA,30115 ,#2476,(678) 880-4311"
-115.309319,36.114942,"Target - Las Vegas Far SW,","4155 S Grand Canyon Dr,Las Vegas,NV,89147 ,#1524,(702) 251-0330"
-115.207011,36.270939,"Target - Las Vegas North Decatur,","6371 N Decatur Blvd,Las Vegas,NV,89130 ,#2569,(702) 515-8540"
-122.274633,38.282459,"Target - Napa,","205 Soscol Ave,Napa,CA,94559 ,#1026,(707) 224-1058"
-122.307195,38.322866,"Target - Napa North,","4000 Bel Aire Plaza,Napa,CA,94558 ,#1438,(707) 225-3016"
-122.068032,38.247752,"Target - Fairfield,","2059 Cadenasso Dr,Fairfield,CA,94533 ,#0675,(707) 426-1105"
-124.145093,40.806268,"Target - Eureka,","2525 4th St,Eureka,CA,95501 ,#1421,(707) 442-0201"
-121.963092,38.360785,"Target - Vacaville,","3000 Harbison Dr,Vacaville,CA,95687 ,#0827,(707) 452-8053"
-122.713269,38.418547,"Target - Santa Rosa South,","1980 Santa Rosa Ave,Santa Rosa,CA,95407 ,#0937,(707) 575-0665"
-122.719183,38.348425,"Target - Rohnert Park,","475 Rohnert Park Expy W,Rohnert Park,CA,94928 ,#0852,(707) 586-2901"
-122.731308,38.45912,"Target - Santa Rosa North,","950 Coddington Center,Santa Rosa,CA,95401 ,#2804,(707) 596-5587"
-122.223521,38.132649,"Target - Vallejo,","904 Admiral Callaghan Ln,Vallejo,CA,94591 ,#0331,(707) 642-0419"
